"","SampleCode","ChemCode","OriginalChemName","Prefix","Result","Result_Unit","Total_or_Filtered","Result_Type","Method_Type","Method_Name","Extraction_Date","Analysed_Date","Lab_Analysis_ID","Lab_Preperation_Batch_ID","Lab_Analysis_Batch_ID","EQL","RDL","MDL","ODL","Detection_Limit_Units","Lab_Comments","Lab_Qualifier","UCL","LCL","Dilution_Factor","Spike_Concentration","Spike_Measurement","Spike_Units"
"11","24-09453_32667","7440-50-8","Copper","",3.87,"ug/L","T","REG","Total","EPA 200.8","6/5/2024 0:00","6/6/2024 0:00","24-09453","24-09453","IW-2024-249",0.3,2,0.3,NA,"ug/L","Digested","",NA,NA,1,NA,NA,""
"12","24-09453_32667","7440-50-8","Copper","",1.86,"ug/L","F","REG","Dissolved","EPA 200.8","6/5/2024 0:00","6/6/2024 0:00","24-09453","24-09453","IW-2024-247",0.3,2,0.3,NA,"ug/L","Digested","J",NA,NA,1,NA,NA,""
"13","24-09453_32667","NO3+NO2","Nitrtite-N + Nitrate-N","",0.237,"mg/L","F","REG","Total","EPA 300.0","6/18/2024","6/18/2024","24-09453","24-09453","WC3_2024_153",0.05,0.1,0.05,NA,"mg/L","","OT",NA,NA,1,NA,NA,""
"14","24-09453_32667","Hardness","Hardness","",38,"mg/L","T","REG","Total","SM 2340C","6/4/2024","6/4/2024","24-09453","24-09453","WC1-2024-258",1,10,1,NA,"mg/L","","",NA,NA,1,NA,NA,""
"15","24-09453_32667","TSS","TSS","",24,"mg/L","T","REG","Total","SM 2540D","6/4/2024","6/4/2024","24-09453","24-09453","WC1-2024-259",1,2,1,NA,"mg/L","","",NA,NA,1,NA,NA,""
"16","24-09453_WC3_2024_153_BLK","NO3+NO2","Nitrtite-N + Nitrate-N","<",0.05,"mg/L","F","SC","Total","EPA 300.0","6/18/2024","6/18/2024","24-09453","24-09453","WC3_2024_153",0.05,0.1,0.05,NA,"mg/L","","",NA,NA,1,NA,NA,""
"17","24-09443_WC3_2024_153_LFB","NO3+NO2","Nitrtite-N + Nitrate-N","",9.6,"%","T","SC","Total","EPA 300.0","6/18/2024","6/18/2024","24-09453","24-09453","WC3_2024_153",0.05,0.1,0.05,NA,"mg/L","","",110,90,1,10,9.596,"mg/L"
"18","24-09453_WC3_2024_153_MS","NO3+NO2","Nitrtite-N + Nitrate-N","",99.4,"%","T","SC","Total","EPA 300.0","6/18/2024","6/18/2024","24-09453","24-09453","WC3_2024_153",0.05,0.1,0.05,NA,"mg/L","","",120,80,1,10,9.941,"mg/L"
"19","24-09453_WC3_2024_153_Dup","NO3+NO3","Nitrtite-N + Nitrate-N","",0.711,"mg/L","F","REG","Total","EPA 300.0","6/18/2024","6/18/2024","24-09453","24-09453","WC3_2024_153",0.05,0.1,0.05,NA,"mg/L","","",NA,NA,1,NA,NA,""
"20","24-09453_IW-2024-247_BLK","7440-50-8","Copper","<",0.3,"ug/L","T","SC","Total","EPA 200.8","6/5/2024 0:00","6/6/2024 0:00","24-09453","24-09453","IW-2024-247",0.3,2,0.3,NA,"ug/L","Digested","",NA,NA,1,NA,NA,""
"21","24-09453_IW-2024-247_LFB","7440-50-8","Copper","",106,"%","T","SC","Total","EPA 200.8","6/5/2024 0:00","6/6/2024 0:00","24-09453","24-09453","IW-2024-247",0.3,2,0.3,NA,"ug/L","Digested","",115,85,1,50,52.9,"ug/L"
"22","24-09453_IW-2024-247_MS","7440-50-8","Copper","",123,"%","T","SC","Total","EPA 200.8","6/5/2024 0:00","6/6/2024 0:00","24-09453","24-09453","IW-2024-247",0.3,2,0.3,NA,"ug/L","Digested","",130,70,1,50,61.5,"ug/L"
"23","24-09453_IW-2024-247_Dup","7440-50-8","Copper","",10.3,"ug/L","T","REG","Total","EPA 200.8","6/5/2024 0:00","6/6/2024 0:00","24-09453","24-09453","IW-2024-247",0.3,2,0.3,NA,"ug/L","Digested","",NA,NA,1,NA,NA,""
"24","24-09453_IW-2024-249_BLK","7440-50-8","Copper","<",0.3,"ug/L","T","SC","Total","EPA 200.8","6/5/2024 0:00","6/6/2024 0:00","24-09453","24-09453","IW-2024-249",0.3,2,0.3,NA,"ug/L","Digested","",NA,NA,1,NA,NA,""
"25","24-09453_IW-2024-249_LFB","7440-50-8","Copper","",106,"%","T","SC","Total","EPA 200.8","6/5/2024 0:00","6/6/2024 0:00","24-09453","24-09453","IW-2024-249",0.3,2,0.3,NA,"ug/L","Digested","",115,85,1,50,52.9,"ug/L"
"26","24-09453_IW-2024-249_MS","7440-50-8","Copper","",123,"%","T","SC","Total","EPA 200.8","6/5/2024 0:00","6/6/2024 0:00","24-09453","24-09453","IW-2024-249",0.3,2,0.3,NA,"ug/L","Digested","",130,70,1,50,61.5,"ug/L"
"27","24-09453_IW-2024-249_Dup","7440-50-8","Copper","",10.3,"ug/L","T","REG","Total","EPA 200.8","6/5/2024 0:00","6/6/2024 0:00","24-09453","24-09453","IW-2024-249",0.3,2,0.3,NA,"ug/L","Digested","",NA,NA,1,NA,NA,""
"28","24-09453_WC1-2024-258_BLK","Hardness","Hardness","<",10,"mg/L","T","SC","Total","SM 2340C","6/4/2024","6/4/2024","24-09453","24-09453","WC1-2024-258",1,10,1,NA,"mg/L","","",NA,NA,1,NA,NA,""
"29","24-09453_WC1-2024-258_LFB","Hardness","Hardness","",100,"%","T","SC","Total","SM 2340C","6/4/2024","6/4/2024","24-09453","24-09453","WC1-2024-258",1,10,1,NA,"mg/L","","",110,90,1,100,100,"mg/L"
"30","24-09453_WC1-2024-258_Dup","Hardness","Hardness","",86,"mg/L","T","REG","Total","SM 2340C","6/4/2024","6/4/2024","24-09453","24-09453","WC1-2024-258",1,10,1,NA,"mg/L","","",NA,NA,1,NA,NA,""
"31","24-09453_WC1-2024-259_BLK","TSS","TSS","<",1,"mg/L","T","SC","Total","SM 2540D","6/4/2024","6/4/2024","24-09453","24-09453","WC1-2024-259",1,1,1,NA,"mg/L","","",NA,NA,1,NA,NA,""
"32","24-09453_WC1-2024-259_LFB","TSS","TSS","",100.9,"%","T","SC","Total","SM 2540D","6/4/2024","6/4/2024","24-09453","24-09453","WC1-2024-259",1,10,1,NA,"mg/L","","",106.7,90.1,1,1000,1009,"mg/L"
"33","24-09453_WC1-2024-259_Dup","TSS","TSS","",3.5,"mg/L","T","REG","Total","SM 2540D","6/4/2024","6/4/2024","24-09453","24-09453","WC1-2024-259",1,2,1,NA,"mg/L","","",NA,NA,1,NA,NA,""
"34","24F0069_24F0069-01","7440-66-6","Zinc","",21.4,"ug/L","T","REG","Total","EPA 200.8 UCT-KED","6/15/2024 13:37","6/19/2024 17:19","XDTm1240619092","BMF0409","SMF0244",2.92,6,2.92,NA,"ug/L","Lab Batch BMF0409","",NA,NA,1,NA,NA,""
"35","24F0069_24F0069-01","7723-14-0","Phosphorus","",0.09,"mg/L","T","REG","Total","SM 4500-P E-11","6/10/2024 11:36","6/12/2024 13:43","061224PO4TSRB2012","BMF0214","SMF0132",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMF0214","",NA,NA,1,NA,NA,""
"36","24F0069_24F0069-01","OrthoPhosphorus","Ortho Phosphorus","",0.007,"mg/L","T","REG","Total","SM 4500-P E-11","6/5/2024 11:58","6/5/2024 12:44","060524PO4SRPCB2005","BMF0124","SMF0074",0.004,0.004,0.004,NA,"mg/L","Lab Batch BMF0124","H",NA,NA,1,NA,NA,""
"37","24F0069_24F0069-02","7440-66-6","Zinc","",5.98,"ug/L","F","REG","Dissolved","EPA 200.8 UCT-KED","6/15/2024 14:23","6/25/2024 21:27","XDTm2240625A064","BMF0418","SMF0334",2.92,6,2.92,NA,"ug/L","Lab Batch BMF0418","J",NA,NA,1,NA,NA,""
"38","24F0069_24F0069-03","7440-66-6","Zinc","<",2.92,"ug/L","T","REG","Total","EPA 200.8 UCT-KED","6/15/2024 13:37","6/19/2024 17:24","XDTm1240619093","BMF0409","SMF0244",2.92,6,2.92,NA,"ug/L","Lab Batch BMF0409","U",NA,NA,1,NA,NA,""
"39","24F0069_24F0069-03","7723-14-0","Phosphorus","",0.012,"mg/L","T","REG","Total","SM 4500-P E-11","6/10/2024 11:36","6/12/2024 13:45","061224PO4TSRB2015","BMF0214","SMF0132",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMF0214","",NA,NA,1,NA,NA,""
"40","24F0069_24F0069-03","OrthoPhosphorus","Ortho Phosphorus","",0.004,"mg/L","T","REG","Total","SM 4500-P E-11","6/5/2024 11:58","6/5/2024 12:54","060524PO4SRPCB2008","BMF0124","SMF0074",0.004,0.004,0.004,NA,"mg/L","Lab Batch BMF0124","H",NA,NA,1,NA,NA,""
"41","24F0069_24F0069-04","7440-66-6","Zinc","<",2.92,"ug/L","F","REG","Dissolved","EPA 200.8 UCT-KED","6/15/2024 14:23","6/25/2024 21:31","XDTm2240625A065","BMF0418","SMF0334",2.92,6,2.92,NA,"ug/L","Lab Batch BMF0418","U",NA,NA,1,NA,NA,""
"42","24F0069_24F0069-05","7440-66-6","Zinc","",22,"ug/L","T","REG","Total","EPA 200.8 UCT-KED","6/15/2024 13:37","6/19/2024 17:29","XDTm1240619094","BMF0409","SMF0244",2.92,6,2.92,NA,"ug/L","Lab Batch BMF0409","",NA,NA,1,NA,NA,""
"43","24F0069_24F0069-05","7723-14-0","Phosphorus","",0.082,"mg/L","T","REG","Total","SM 4500-P E-11","6/10/2024 11:36","6/12/2024 13:47","061224PO4TSRB2016","BMF0214","SMF0132",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMF0214","",NA,NA,1,NA,NA,""
"44","24F0069_24F0069-05","OrthoPhosphorus","Ortho Phosphorus","",0.006,"mg/L","T","REG","Total","SM 4500-P E-11","6/5/2024 11:58","6/5/2024 12:55","060524PO4SRPCB2009","BMF0124","SMF0074",0.004,0.004,0.004,NA,"mg/L","Lab Batch BMF0124","H",NA,NA,1,NA,NA,""
"45","24F0069_24F0069-06","7440-66-6","Zinc","",5.91,"ug/L","F","REG","Dissolved","EPA 200.8 UCT-KED","6/15/2024 14:23","6/25/2024 21:36","XDTm2240625A066","BMF0418","SMF0334",2.92,6,2.92,NA,"ug/L","Lab Batch BMF0418","J",NA,NA,1,NA,NA,""
"46","24F0069_BMF0124-BLK1","OrthoPhosphorus","Ortho Phosphorus","<",0.004,"mg/L","T","REG","Total","SM 4500-P E-11","6/5/2024 11:58","6/5/2024 12:43","060524PO4SRPCB2003","BMF0124","SMF0074",0.004,0.004,0.004,NA,"mg/L","Lab Batch BMF0124","U",NA,NA,1,NA,NA,""
"47","24F0069_BMF0124-BS1","OrthoPhosphorus","Ortho Phosphorus","",107,"%","T","SC","Total","SM 4500-P E-11","6/5/2024 11:58","6/5/2024 12:43","060524PO4SRPCB2004","BMF0124","SMF0074",0.004,0.004,0.004,NA,"mg/L","Lab Batch BMF0124","",110,90,1,0.15,0.16,"mg/L"
"48","24F0069_BMF0124-DUP1","OrthoPhosphorus","Ortho Phosphorus","",0.007,"mg/L","T","REG","Total","SM 4500-P E-11","6/5/2024 11:58","6/5/2024 12:45","060524PO4SRPCB2006","BMF0124","SMF0074",0.004,0.004,0.004,NA,"mg/L","Lab Batch BMF0124","",NA,NA,1,NA,NA,""
"49","24F0069_BMF0124-MS1","OrthoPhosphorus","Ortho Phosphorus","",96.5,"%","T","SC","Total","SM 4500-P E-11","6/5/2024 11:58","6/5/2024 12:52","060524PO4SRPCB2007","BMF0124","SMF0074",0.004,0.004,0.004,NA,"mg/L","Lab Batch BMF0124","",125,75,1,0.1005,0.104,"mg/L"
"50","24F0069_BMF0214-BLK1","7723-14-0","Phosphorus","<",0.008,"mg/L","T","REG","Total","SM 4500-P E-11","6/10/2024 11:36","6/12/2024 13:35","061224PO4TSRB2001","BMF0214","SMF0132",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMF0214","U",NA,NA,1,NA,NA,""
"51","24F0069_BMF0214-BLK2","7723-14-0","Phosphorus","<",0.008,"mg/L","T","REG","Total","SM 4500-P E-11","6/10/2024 11:36","6/12/2024 13:44","061224PO4TSRB2013","BMF0214","SMF0132",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMF0214","U",NA,NA,1,NA,NA,""
"52","24F0069_BMF0214-BLK3","7723-14-0","Phosphorus","<",0.008,"mg/L","T","REG","Total","SM 4500-P E-11","6/10/2024 11:36","6/12/2024 13:52","061224PO4TSRB2023","BMF0214","SMF0132",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMF0214","U",NA,NA,1,NA,NA,""
"53","24F0069_BMF0214-BS1","7723-14-0","Phosphorus","",110,"%","T","SC","Total","SM 4500-P E-11","6/10/2024 11:36","6/12/2024 13:35","061224PO4TSRB2002","BMF0214","SMF0132",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMF0214","",110,90,1,0.15,0.165,"mg/L"
"54","24F0069_BMF0214-BS2","7723-14-0","Phosphorus","",109,"%","T","SC","Total","SM 4500-P E-11","6/10/2024 11:36","6/12/2024 13:44","061224PO4TSRB2014","BMF0214","SMF0132",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMF0214","",110,90,1,0.15,0.164,"mg/L"
"55","24F0069_BMF0214-BS3","7723-14-0","Phosphorus","",109,"%","T","SC","Total","SM 4500-P E-11","6/10/2024 11:36","6/12/2024 13:53","061224PO4TSRB2024","BMF0214","SMF0132",0.008,0.008,0.008,NA,"mg/L","Lab Batch BMF0214","",110,90,1,0.15,0.164,"mg/L"
"56","24F0069_BMF0409-BLK1","7440-66-6","Zinc","<",2.92,"ug/L","T","REG","Total","EPA 200.8 UCT-KED","6/15/2024 13:37","6/19/2024 11:40","XDTm1240619028","BMF0409","SMF0244",2.92,6,2.92,NA,"ug/L","Lab Batch BMF0409","U",NA,NA,1,NA,NA,""
"57","24F0069_BMF0409-BS1","7440-66-6","Zinc","",103,"%","T","SC","Total","EPA 200.8 UCT-KED","6/15/2024 13:37","6/19/2024 11:45","XDTm1240619029","BMF0409","SMF0244",2.92,6,2.92,NA,"ug/L","Lab Batch BMF0409","",120,80,1,80,82,"ug/L"
"58","24F0069_BMF0418-BLK1","7440-66-6","Zinc","<",2.92,"ug/L","F","REG","Dissolved","EPA 200.8 UCT-KED","6/15/2024 14:23","6/25/2024 16:21","XDTm1240625061","BMF0418","SMF0329",2.92,6,2.92,NA,"ug/L","Lab Batch BMF0418","U",NA,NA,1,NA,NA,""
"59","24F0069_BMF0418-BS1","7440-66-6","Zinc","",104,"%","F","SC","Dissolved","EPA 200.8 UCT-KED","6/15/2024 14:23","6/25/2024 16:26","XDTm1240625062","BMF0418","SMF0329",2.92,6,2.92,NA,"ug/L","Lab Batch BMF0418","",120,80,1,80,82.8,"ug/L"
