SampleCode,ChemCode,OriginalChemName,Prefix,Result,Result_Unit,Total_or_Filtered,Result_Type,Method_Type,Method_Name,Extraction_Date,Analysed_Date,Lab_Analysis_ID,Lab_Preperation_Batch_ID,Lab_Analysis_Batch_ID,EQL,RDL,MDL,ODL,Detection_Limit_Units,Lab_Comments,Lab_Qualifier,UCL,LCL,Dilution_Factor,Spike_Concentration,Spike_Measurement,Spike_Units
24-08648_29766,7440-50-8,Copper,,1.08,ug/L,T,REG,Total,EPA 200.8,5/22/2024 0:00,5/24/2024 0:00,24-08648,24-08648,IW-2024-233,0.3,2,0.3,,ug/L,Digested,J,,,1,,,
24-08648_29766,7440-50-8,Copper,,0.823,ug/L,F,REG,Dissolved,EPA 200.8,5/22/2024 0:00,5/24/2024 0:00,24-08648,24-08648,IW-2024-228,0.3,2,0.3,,ug/L,Digested,J,,,1,,,
24-08648_29766,TSS,TSS,,3.6,mg/L,T,REG,Total,SM 2540D,5/23/2024,5/23/2024,24-08648,24-08648,WC1-2024-243,1,2,1,,mg/L,,,,,1,,,
24-08648_29766,OrthoPhosphorus,OrthoPhosphorus,<,0.013,mg/L,F,REG,Total,EPA 300.0,5/18/2024,5/18/2024,24-08648,24-08648,WC3_2024_147,0.013,0.05,0.013,,mg/L,Not subcontracted due to day of collection and hold time,,,,1,,,
24-08648_29766,DRO,Diesel,<,0.25,mg/L,T,REG,Total,NWTPH-Dx,5/20/2024,5/21/2024,24-08648,24-08648,OC3-2024-11,0.1,0.25,0.1,,mg/L,,,,,1,,,
24-08648_29766,Heavy_Oil,Heavy Oils,<,0.5,mg/L,T,REG,Total,NWTPH-Dx,5/20/2024,5/21/2024,24-08648,24-08648,OC3-2024-11,0.2,0.5,0.2,,mg/L,,,,,1,,,
24-08648_29766,Faecal_Coliform,Faecal Coliforms,<,2,/100mL,T,REG,Total,SM_9222-DG,5/18/2024,5/20/2024,24-08648,24-08648,MBMF-240518,1,2,1,,/100mL,,,,,1,,,
24-08648_29766,E. Coli,E. Coli,<,2,/100mL,T,REG,Total,SM_9222-DG,5/18/2024,5/20/2024,24-08648,24-08648,MBMF-240518,1,2,1,,/100mL,,,,,1,,,
24-08648_29767,7440-50-8,Copper,,1.63,ug/L,T,REG,Total,EPA 200.8,5/22/2024 0:00,5/24/2024 0:00,24-08648,24-08648,IW-2024-233,0.3,2,0.3,,ug/L,Digested,J,,,1,,,
24-08648_29767,7440-50-8,Copper,,1.29,ug/L,F,REG,Dissolved,EPA 200.8,5/22/2024 0:00,5/24/2024 0:00,24-08648,24-08648,IW-2024-228,0.3,2,0.3,,ug/L,Digested,J,,,1,,,
24-08648_29767,TSS,TSS,,4.2,mg/L,T,REG,Total,SM 2540D,5/23/2024,5/23/2024,24-08648,24-08648,WC1-2024-243,1,2,1,,mg/L,,,,,1,,,
24-08648_29767,OrthoPhosphorus,OrthoPhosphorus,<,0.013,mg/L,F,REG,Total,EPA 300.0,5/18/2024,5/18/2024,24-08648,24-08648,WC3_2024_147,0.013,0.05,0.013,,mg/L,Not subcontracted due to day of collection and hold time,,,,1,,,
24-08648_29767,DRO,Diesel,<,0.25,mg/L,T,REG,Total,NWTPH-Dx,5/20/2024,5/21/2024,24-08648,24-08648,OC3-2024-11,0.1,0.25,0.1,,mg/L,,,,,1,,,
24-08648_29767,Heavy_Oil,Heavy Oils,<,0.5,mg/L,T,REG,Total,NWTPH-Dx,5/20/2024,5/21/2024,24-08648,24-08648,OC3-2024-11,0.2,0.5,0.2,,mg/L,,,,,1,,,
24-08648_29767,Faecal_Coliform,Faecal Coliforms,,7,/100mL,T,REG,Total,SM_9222-DG,5/18/2024,5/20/2024,24-08648,24-08648,MBMF-240518,1,2,1,,/100mL,,C,,,1,,,
24-08648_29767,E. Coli,E. Coli,,7,/100mL,T,REG,Total,SM_9222-DG,5/18/2024,5/20/2024,24-08648,24-08648,MBMF-240518,1,2,1,,/100mL,,C,,,1,,,
24-08648_IW-2024-228_BLK,7440-50-8,Copper,<,0.3,ug/L,T,SC,Total,EPA 200.8,5/22/2024 0:00,5/24/2024 0:00,24-08648,24-08648,IW-2024-228,0.3,2,0.3,,ug/L,Digested,,,,1,,,
24-08648_IW-2024-228_LFB,7440-50-8,Copper,,103,%,T,SC,Total,EPA 200.8,5/22/2024 0:00,5/24/2024 0:00,24-08648,24-08648,IW-2024-228,0.3,2,0.3,,ug/L,Digested,,115,85,1,50,51.5,ug/L
24-08648_IW-2024-228_MS,7440-50-8,Copper,,102,%,T,SC,Total,EPA 200.8,5/22/2024 0:00,5/24/2024 0:00,24-08648,24-08648,IW-2024-228,0.3,2,0.3,,ug/L,Digested,,130,70,1,50,50.9,ug/L
24-08648_IW-2024-228_Dup,7440-50-8,Copper,,1.38,ug/L,T,REG,Total,EPA 200.8,5/22/2024 0:00,5/24/2024 0:00,24-08648,24-08648,IW-2024-228,0.3,2,0.3,,ug/L,Digested,J,,,1,,,
24-08648_IW-2024-233_BLK,7440-50-8,Copper,<,0.3,ug/L,T,SC,Total,EPA 200.8,5/22/2024 0:00,5/24/2024 0:00,24-08648,24-08648,IW-2024-233,0.3,2,0.3,,ug/L,Digested,,,,1,,,
24-08648_IW-2024-233_LFB,7440-50-8,Copper,,103,%,T,SC,Total,EPA 200.8,5/22/2024 0:00,5/24/2024 0:00,24-08648,24-08648,IW-2024-233,0.3,2,0.3,,ug/L,Digested,,115,85,1,50,51.5,ug/L
24-08648_IW-2024-233_MS,7440-50-8,Copper,,115,%,T,SC,Total,EPA 200.8,5/22/2024 0:00,5/24/2024 0:00,24-08648,24-08648,IW-2024-233,0.3,2,0.3,,ug/L,Digested,,130,70,1,50,57.5,ug/L
24-08648_IW-2024-233_Dup,7440-50-8,Copper,,1.86,ug/L,T,REG,Total,EPA 200.8,5/22/2024 0:00,5/24/2024 0:00,24-08648,24-08648,IW-2024-233,0.3,2,0.3,,ug/L,Digested,J,,,1,,,
