SampleCode,Sampled_Date_Time,Field_ID,Blank1,Depth,Blank2,Matrix_Type,Sample_Type,Parent_Sample,Blank3,SDG,Lab_Name,Lab_SampleID,Lab_Comments,Lab_Report_Number
24E0465_24E0465-02,5/18/2024 15:12,24-08648 29766 AS-IN,,,,Water,Normal,                    ,,24E0465,ARL,24E0465-02,,24E0465
24E0465_24E0465-01,5/18/2024 15:12,24-08648 29766 AS-IN,,,,Water,Normal,                    ,,24E0465,ARL,24E0465-01,,24E0465
24E0465_24E0465-03,5/18/2024 15:21,24-08648 29767 AS-OUT,,,,Water,Normal,                    ,,24E0465,ARL,24E0465-03,,24E0465
24E0465_24E0465-04,5/18/2024 15:21,24-08648 29767 AS-OUT,,,,Water,Normal,                    ,,24E0465,ARL,24E0465-04,,24E0465
24E0465_BME0596-BLK1,5/23/2024 12:08,BME0596-BLK1,,,,Water,MB,,,24E0465,ARL,BME0596-BLK1,,24E0465
24E0465_BME0596-BLK2,5/23/2024 12:08,BME0596-BLK2,,,,Water,MB,,,24E0465,ARL,BME0596-BLK2,,24E0465
24E0465_BME0596-BLK3,5/23/2024 12:08,BME0596-BLK3,,,,Water,MB,,,24E0465,ARL,BME0596-BLK3,,24E0465
24E0465_BME0596-BLK4,5/23/2024 12:08,BME0596-BLK4,,,,Water,MB,,,24E0465,ARL,BME0596-BLK4,,24E0465
24E0465_BMF0011-BLK1,6/1/2024 10:32,BMF0011-BLK1,,,,Water,MB,,,24E0465,ARL,BMF0011-BLK1,,24E0465
24E0465_BMF0013-BLK1,6/1/2024 11:15,BMF0013-BLK1,,,,Water,MB,,,24E0465,ARL,BMF0013-BLK1,,24E0465
24E0465_BME0596-BS1,5/23/2024 12:08,BME0596-BS1,,,,Water,LCS,,,24E0465,ARL,BME0596-BS1,,24E0465
24E0465_BME0596-BS2,5/23/2024 12:08,BME0596-BS2,,,,Water,LCS,,,24E0465,ARL,BME0596-BS2,,24E0465
24E0465_BME0596-BS3,5/23/2024 12:08,BME0596-BS3,,,,Water,LCS,,,24E0465,ARL,BME0596-BS3,,24E0465
24E0465_BME0596-BS4,5/23/2024 12:08,BME0596-BS4,,,,Water,LCS,,,24E0465,ARL,BME0596-BS4,,24E0465
24E0465_BMF0011-BS1,6/1/2024 10:32,BMF0011-BS1,,,,Water,LCS,,,24E0465,ARL,BMF0011-BS1,,24E0465
24E0465_BMF0013-BS1,6/1/2024 11:15,BMF0013-BS1,,,,Water,LCS,,,24E0465,ARL,BMF0013-BS1,,24E0465
