SampleCode,Sampled_Date_Time,Field_ID,Blank1,Depth,Blank2,Matrix_Type,Sample_Type,Parent_Sample,Blank3,SDG,Lab_Name,Lab_SampleID,Lab_Comments,Lab_Report_Number
24-08836_30435,5/22/2024 9:53,AS-IN,,,,Water,Normal,,,,Exact Scientific,24-08836_30435,,24-08836
24-08836_30435,5/22/2024 9:53,AS-IN,,,,Water,Normal,,,,Exact Scientific,24-08836_30435,,24-08836
24-08836_30435,5/22/2024 9:53,AS-IN,,,,Water,Normal,,,,Exact Scientific,24-08836_30435,,24-08836
24-08836_30436,5/22/2024 9:58,AS-OUT,,,,Water,Normal,,,,Exact Scientific,24-08836_30436,,24-08836
24-08836_30436,5/22/2024 9:58,AS-OUT,,,,Water,Normal,,,,Exact Scientific,24-08836_30436,,24-08836
24-08836_30436,5/22/2024 9:58,AS-OUT,,,,Water,Normal,,,,Exact Scientific,24-08836_30436,,24-08836
24-08836_IW-2024-239_BLK,5/29/2024 0:00,IW-2024-239_BLK,,,,Water,MB,,,,Exact Scientific,IW-2024-239_BLK,,24-08836
24-08836_IW-2024-239_LFB,5/29/2024 0:00,IW-2024-239_LFB,,,,Water,LCS,,,,Exact Scientific,IW-2024-239_LFB,,24-08836
24-08836_IW-2024-239_MS,5/29/2024 0:00,IW-2024-239_MS,,,,Water,MS,,,,Exact Scientific,IW-2024-239_MS,,24-08836
24-08836_IW-2024-239_Dup,5/29/2024 0:00,IW-2024-239_Dup,,,,Water,LAB_D,24-08836_30435,,,Exact Scientific,IW-2024-239_Dup,,24-08836
24-08836_IW-2024-240_BLK,5/29/2024 0:00,IW-2024-240_BLK,,,,Water,MB,,,,Exact Scientific,IW-2024-240_BLK,,24-08836
24-08836_IW-2024-240_LFB,5/29/2024 0:00,IW-2024-240_LFB,,,,Water,LCS,,,,Exact Scientific,IW-2024-240_LFB,,24-08836
24-08836_IW-2024-240_MS,5/29/2024 0:00,IW-2024-240_MS,,,,Water,MS,,,,Exact Scientific,IW-2024-240_MS,,24-08836
24-08836_IW-2024-240_Dup,5/29/2024 0:00,IW-2024-240_Dup,,,,Water,LAB_D,24-08836_30435,,,Exact Scientific,IW-2024-240_Dup,,24-08836
24-08836_WC1-2024-243_BLK,5/23/2024 0:00,WC1-2024-243_BLK,,,,Water,MB,,,,Exact Scientific,WC1-2024-243_BLK,,24-08836
24-08836_WC1-2024-243_LFB,5/23/2024 0:00,WC1-2024-243_LFB,,,,Water,LCS,,,,Exact Scientific,WC1-2024-243_LFB,,24-08836
24-08836_WC1-2024-243_Dup,5/23/2024 0:00,WC1-2024-243_Dup,,,,Water,LAB_D,24-08779_30265,,,Exact Scientific,WC1-2024-243_Dup,,24-08836
